barCode;lName;iName;isbnNumber
9-888-345-985-7;Seurat Library;Northern Streich University;977-6-25-761397-7
6-333-714-013-4;Pissarro Library;Corwin University;525-4-37-205315-7
1-740-477-514-1;Pissarro Library;East Yukon College;472-0-81-543875-1
5-085-669-738-5;Rothko Library;The Vandervort Academy;608-3-30-809108-2
5-913-366-447-3;Diego Rivera Library;The Parisian;098-2-97-010494-1
3-312-651-426-2;Botticelli Library;South Quebec Institute;327-2-88-718622-0
6-972-770-194-9;Warhol Library;Western Yukon Institute;182-5-21-656226-4
2-091-591-358-8;Cezanne Library;The Vandervort Academy;323-5-82-127165-6
1-725-593-668-3;Dali Library;Eastern Prince Edward Island University;961-3-51-740119-2
4-251-571-140-9;Michelangelo Library;North Quebec College;256-0-12-549294-9
2-781-539-178-1;Edward Hopper Library;West Legros;256-0-12-549294-9
8-342-381-251-5;Da Vinci Library;Western Yukon Institute;147-5-53-198536-8
4-233-186-362-4;Kandinsky Library;Southern Senger College;845-8-20-692426-7
6-573-350-984-5;Dali Library;Southern Senger College;428-4-80-113832-5
3-878-721-383-3;Rembrandt Library;Southern Schuster Institute;977-6-25-761397-7
9-695-397-170-5;Vettriano Library;Eastern Prince Edward Island University;005-9-72-540567-1
4-018-854-602-6;Rothko Library;Bednar University;648-0-43-942465-1
2-352-667-921-4;Seurat Library;Northern Streich University;624-4-56-811755-7
5-468-106-992-7;Michelangelo Library;North Quebec College;692-0-98-655416-0
4-238-545-959-2;Donatello Library;Bailey University;692-0-71-752694-7
8-846-924-502-1;Diego Rivera Library;Eastern Prince Edward Island University;515-4-66-485460-3
3-702-949-981-2;Botticelli Library;Larkin College;672-3-55-780553-7
0-301-698-100-8;Paul Klee Library;North Quebec College;229-5-70-487839-8
1-308-461-515-4;Da Vinci Library;West Newfoundland and Labrador University;107-6-95-540626-8
8-192-366-979-8;Joan Miro Library;Haag Institute;557-1-95-860562-6
9-304-493-110-9;Winslow Homer Library;West Keebler;546-6-61-381237-9
5-067-089-313-1;Cezanne Library;The Vandervort Academy;842-3-77-938539-0
1-029-965-360-5;Rembrandt Library;Southern Schuster Institute;082-3-09-683860-1
7-894-894-727-5;Donatello Library;Corwin College;536-0-29-118485-6
3-210-750-531-5;Ansel Adams Library;North Quebec College;154-3-72-184582-6
9-375-744-332-2;Magritte Library;Southern Senger College;546-6-61-381237-9
8-669-085-484-4;Da Vinci Library;East Boehm Academy;677-3-74-483124-4
7-036-190-899-6;Diego Rivera Library;The Parisian;617-4-86-054112-6
5-297-046-378-4;Joan Miro Library;Corwin College;168-5-84-933219-9
9-314-097-084-5;Kandinsky Library;Bednar University;621-3-10-235654-0
7-217-166-368-6;Michelangelo Library;North Quebec College;870-8-74-377167-1
2-113-130-062-6;Vettriano Library;Eastern Prince Edward Island University;038-6-44-784462-2
3-386-006-026-7;Paul Klee Library;North Quebec College;963-3-69-730935-1
0-898-465-575-5;Kahlo Library;Pollich College;282-4-47-398611-6
6-694-110-582-6;Durer Library;Eastern Brown;847-5-72-009707-1
4-167-943-243-6;Manet Library;South Ontario Institute;360-5-73-603245-1
1-377-950-484-0;Da Vinci Library;Bailey University;270-5-44-783746-2
2-982-559-016-3;Dali Library;Eastern Prince Edward Island University;594-3-88-377628-1
1-330-678-397-0;Michelangelo Library;North Quebec College;506-7-23-645168-2
5-595-929-034-9;Pissarro Library;Corwin University;977-6-25-761397-7
7-096-412-624-2;Botticelli Library;Larkin College;905-7-31-462722-4
6-491-555-964-0;Paul Klee Library;North Quebec College;182-0-31-144227-5
1-680-139-968-5;Da Vinci Library;Bailey University;916-8-46-781853-1
0-008-826-341-6;Joan Miro Library;Haag Institute;360-5-73-603245-1
8-330-411-314-4;Kandinsky Library;Southern Senger College;993-1-35-336012-4
0-760-480-203-1;Pissarro Library;East Yukon College;665-4-49-020583-6
5-050-723-743-9;Kandinsky Library;Southern Senger College;289-9-73-441059-1
1-132-134-192-4;Da Vinci Library;Western Yukon Institute;256-0-12-549294-9
5-744-113-113-8;Kahlo Library;Pollich College;546-8-60-619577-4
2-260-723-989-0;Da Vinci Library;East Boehm Academy;134-5-24-251683-9
5-867-906-457-0;Chagall Library;The Green;621-3-10-235654-0
0-534-463-827-2;Cezanne Library;The Vandervort Academy;177-9-84-643166-6
3-482-149-965-5;Dali Library;Southern Senger College;658-7-04-167506-0
1-801-765-746-3;Joan Miro Library;Haag Institute;671-9-02-239486-0
9-800-707-591-2;Donatello Library;Corwin College;726-9-68-483481-2
7-225-898-264-4;Paul Klee Library;North Quebec College;692-0-71-752694-7
2-527-760-690-8;Durer Library;Eastern Brown;286-2-92-505229-6
0-258-121-155-3;Monet Library;The Parisian;760-9-37-234627-0
8-994-902-223-3;Cezanne Library;Pollich College;658-7-04-167506-0
3-001-821-851-9;Diego Rivera Library;Eastern Prince Edward Island University;865-8-93-722874-4
9-809-819-471-0;Munch Library;Pollich College;117-2-93-835575-8
4-904-254-766-8;Joan Miro Library;Corwin College;545-4-77-346785-2
4-547-322-751-5;Dali Library;Eastern Prince Edward Island University;223-0-27-462035-0
7-026-124-447-4;Dali Library;Southern Senger College;466-8-85-402170-3
5-358-284-654-1;Donatello Library;Corwin College;277-8-19-198970-7
9-490-023-935-1;Rothko Library;The Vandervort Academy;334-3-50-130100-9
7-875-568-102-4;Winslow Homer Library;West Keebler;323-5-82-127165-6
8-737-647-530-9;Joan Miro Library;Corwin College;360-8-98-036970-3
4-767-987-576-6;Winslow Homer Library;West Keebler;441-3-92-329424-8
1-153-713-017-8;Edward Hopper Library;West Legros;320-1-22-008725-8
7-252-334-017-2;Raphael Library;East Boehm Academy;298-8-94-970548-7
3-656-216-181-6;Edward Hopper Library;West Legros;049-3-19-379762-5
4-576-060-844-6;Kandinsky Library;Southern Senger College;326-5-33-314211-4
6-680-797-653-6;Edward Hopper Library;South Ontario Institute;662-7-49-902151-9
4-870-443-126-3;Kahlo Library;Pollich College;345-7-42-827926-7
9-969-565-605-1;Paul Klee Library;North Quebec College;671-9-02-239486-0
7-021-989-934-0;Warhol Library;Western Yukon Institute;843-1-22-107371-2
6-357-929-634-8;Cezanne Library;The Vandervort Academy;655-0-92-070128-9
6-730-046-524-7;Cassatt Library;Goodwin Institute;715-9-17-430833-9
6-789-744-742-0;Rothko Library;The Vandervort Academy;154-3-72-184582-6
5-272-478-847-7;Diego Rivera Library;Fisher College;846-3-44-505098-4
8-570-402-417-0;Warhol Library;West Legros;270-5-44-783746-2
4-215-594-466-7;Da Vinci Library;Bailey University;632-8-88-112916-7
7-043-774-928-2;Winslow Homer Library;West Keebler;761-2-07-281072-5
4-640-598-777-0;Donatello Library;Corwin College;597-2-00-986630-7
9-936-744-342-7;Kandinsky Library;Southern Senger College;662-7-49-902151-9
2-272-468-022-7;Da Vinci Library;East Boehm Academy;635-2-15-267958-1
2-538-384-844-0;Joan Miro Library;Western Yukon Institute;326-5-33-314211-4
4-881-701-933-1;Da Vinci Library;Bailey University;800-9-91-302051-6
4-198-150-482-7;Raphael Library;East Boehm Academy;523-8-89-272307-1
8-322-831-500-8;Cassatt Library;Goodwin Institute;321-6-24-036853-5
7-432-556-179-4;Warhol Library;Western Yukon Institute;648-0-43-942465-1
6-599-864-876-9;Bernini Library;East Krajcik Academy;277-8-19-198970-7
4-852-536-891-1;Rothko Library;The Vandervort Academy;597-2-00-986630-7
8-806-967-491-9;Paul Klee Library;North Quebec College;761-2-07-281072-5
4-260-843-936-9;Donatello Library;Bailey University;312-7-82-803090-8
5-422-917-600-4;Ansel Adams Library;South Quebec Institute;760-9-37-234627-0
0-554-732-880-2;Gauguin Library;The Parisian;763-8-81-497335-8
2-610-729-585-8;Titian Library;South Quebec Institute;345-7-42-827926-7
2-132-705-171-5;Cezanne Library;The Vandervort Academy;219-5-48-511855-6
5-434-233-276-8;Winslow Homer Library;West Keebler;441-3-92-329424-8
3-229-639-604-7;Munch Library;Pollich College;402-1-86-661202-8
9-766-182-690-6;Titian Library;South Quebec Institute;608-3-30-809108-2
0-696-592-707-1;Dali Library;South Ontario Institute;232-0-81-128296-6
1-962-460-220-8;Ansel Adams Library;Eastern Brown;864-7-11-650739-3
3-871-953-551-8;Titian Library;South Quebec Institute;495-1-89-959092-1
7-312-994-167-1;Botticelli Library;South Quebec Institute;977-6-25-761397-7
8-964-571-616-8;Joan Miro Library;Western Yukon Institute;749-8-02-736054-0
5-630-452-441-7;Vettriano Library;Eastern Prince Edward Island University;648-0-43-942465-1
5-566-203-828-4;Titian Library;South Quebec Institute;672-3-55-780553-7
7-418-780-731-8;Da Vinci Library;Western Yukon Institute;360-8-98-036970-3
0-389-151-262-0;Ansel Adams Library;North Quebec College;071-4-63-317346-2
6-907-127-989-0;Joan Miro Library;Corwin College;154-3-72-184582-6
2-184-443-937-1;Rothko Library;Bednar University;577-2-08-492377-8
5-936-877-311-3;Diego Rivera Library;The Parisian;230-1-29-732084-6
2-317-563-352-0;Dali Library;Southern Senger College;038-6-44-784462-2
2-606-585-689-9;Diego Rivera Library;Eastern Prince Edward Island University;166-3-36-231843-8
6-163-203-888-1;Da Vinci Library;West Newfoundland and Labrador University;515-4-66-485460-3
3-440-249-216-5;Joan Miro Library;Haag Institute;326-5-33-314211-4
8-125-869-560-7;Rubens Library;Corwin College;658-7-04-167506-0
7-687-095-859-8;Cassatt Library;Goodwin Institute;894-6-66-322805-9
7-048-231-593-7;Raphael Library;East Boehm Academy;963-3-69-730935-1
2-594-964-817-7;Da Vinci Library;Western Yukon Institute;177-9-84-643166-6
7-163-241-567-8;Matisse Library;Bailey University;082-3-09-683860-1
1-565-146-353-5;Rembrandt Library;Southern Schuster Institute;658-7-04-167506-0
6-199-882-701-3;Dali Library;South Ontario Institute;166-3-36-231843-8
1-643-646-481-8;Pissarro Library;East Yukon College;902-7-51-224652-8
1-127-145-882-8;Joan Miro Library;Haag Institute;811-4-06-031294-4
9-102-005-393-9;Cezanne Library;Pollich College;400-3-53-162592-9
0-154-680-879-9;Cezanne Library;The Vandervort Academy;874-3-61-341156-4
4-943-568-259-1;Dali Library;Eastern Prince Edward Island University;277-8-19-198970-7
9-814-003-751-2;Edward Hopper Library;South Ontario Institute;843-1-22-107371-2
3-605-329-302-4;Titian Library;South Quebec Institute;177-1-72-520882-2
6-995-832-870-2;Kahlo Library;Pollich College;049-3-19-379762-5
1-817-781-616-2;Pissarro Library;East Yukon College;347-4-67-082213-3
8-233-502-794-2;Winslow Homer Library;West Keebler;176-6-61-764867-0
3-464-734-650-9;Cassatt Library;Goodwin Institute;974-6-61-592397-4
7-407-065-278-5;Cezanne Library;The Vandervort Academy;282-4-47-398611-6
3-510-422-123-6;Manet Library;South Ontario Institute;672-3-55-780553-7
5-083-043-397-9;Kandinsky Library;Southern Senger College;277-8-19-198970-7
3-700-289-052-5;Kandinsky Library;Bednar University;282-4-47-398611-6
8-076-579-880-1;Kandinsky Library;Southern Senger College;006-0-13-956633-7
1-926-480-684-4;Gauguin Library;The Parisian;466-8-85-402170-3
1-184-492-582-0;Dali Library;Eastern Prince Edward Island University;763-8-81-497335-8
4-595-256-863-4;Joan Miro Library;Corwin College;662-7-49-902151-9
7-203-773-439-0;Gauguin Library;The Parisian;177-1-72-520882-2
6-362-532-824-6;Paul Klee Library;North Quebec College;749-8-02-736054-0
5-979-926-601-6;Rothko Library;Bednar University;814-9-35-967056-1
7-351-655-471-6;Botticelli Library;Larkin College;974-6-61-592397-4
1-140-768-948-2;Donatello Library;Corwin College;284-9-93-729051-7
7-298-227-689-9;Durer Library;North Ontario Institute;761-2-07-281072-5
1-660-491-041-1;Joan Miro Library;Corwin College;061-9-29-824413-1
8-437-650-903-8;Winslow Homer Library;West Keebler;672-3-55-780553-7
7-291-746-404-2;Pissarro Library;East Yukon College;347-4-67-082213-3
9-231-790-849-9;Da Vinci Library;Bailey University;314-1-51-818311-6
6-606-637-494-1;Da Vinci Library;West Newfoundland and Labrador University;641-1-45-053694-3
9-060-780-403-2;Donatello Library;Corwin College;005-9-72-540567-1
7-277-009-669-3;Gauguin Library;The Parisian;168-5-84-933219-9
7-924-501-724-9;Pissarro Library;East Yukon College;662-7-49-902151-9
3-121-957-230-7;Diego Rivera Library;Fisher College;327-2-88-718622-0
3-038-073-076-8;Dali Library;South Ontario Institute;974-6-61-592397-4
3-767-454-368-5;Durer Library;North Ontario Institute;222-4-35-315597-1
6-578-593-116-3;Chagall Library;The Parisian;707-9-21-265659-3
8-537-105-467-4;Munch Library;Pollich College;923-2-04-794172-4
5-989-045-141-3;Ansel Adams Library;North Quebec College;957-8-28-101485-9
4-580-737-014-9;Winslow Homer Library;West Keebler;773-7-83-563890-2
7-298-290-375-7;Edward Hopper Library;West Legros;557-1-95-860562-6
6-405-464-995-8;Kandinsky Library;Hirthe University;963-3-69-730935-1
6-719-512-119-1;Rembrandt Library;Southern Schuster Institute;480-9-47-710551-2
2-763-356-732-5;Joan Miro Library;Western Yukon Institute;692-0-71-752694-7
7-932-252-330-0;Kahlo Library;Pollich College;776-4-60-458524-0
7-129-077-106-1;Da Vinci Library;East Boehm Academy;546-6-61-381237-9
2-901-383-725-2;Kandinsky Library;Western Yukon Institute;760-9-37-234627-0
0-738-355-927-9;Edward Hopper Library;South Ontario Institute;323-5-82-127165-6
1-392-205-915-0;Edward Hopper Library;West Legros;715-9-17-430833-9
4-932-313-382-8;Ansel Adams Library;Eastern Brown;314-1-51-818311-6
1-786-398-001-4;Diego Rivera Library;Fisher College;658-8-66-888188-1
3-379-840-100-9;Winslow Homer Library;West Keebler;546-6-61-381237-9
8-170-715-812-8;Edward Hopper Library;West Legros;184-8-89-989694-2
7-086-038-993-5;Rothko Library;The Vandervort Academy;800-9-91-302051-6
9-267-131-623-1;Joan Miro Library;Haag Institute;707-9-21-265659-3
0-074-526-451-4;Ansel Adams Library;South Quebec Institute;268-2-21-499255-6
2-409-534-294-1;Diego Rivera Library;The Parisian;234-6-58-268075-2
5-161-046-165-5;Diego Rivera Library;The Parisian;449-6-96-148560-2
4-247-968-299-4;Edward Hopper Library;South Ontario Institute;400-3-53-162592-9
0-807-468-995-3;Edward Hopper Library;West Legros;400-3-53-162592-9
7-866-095-030-7;Cezanne Library;The Vandervort Academy;495-1-89-959092-1
5-026-732-529-7;Dali Library;South Ontario Institute;694-1-51-995599-3
1-137-415-174-4;Rothko Library;The Vandervort Academy;594-3-88-377628-1
7-071-001-352-6;Dali Library;South Ontario Institute;232-9-40-747572-0
6-762-792-751-1;Matisse Library;Bailey University;923-2-04-794172-4
6-754-932-013-4;Kandinsky Library;Southern Senger College;474-6-95-084610-4
5-984-467-196-4;Rubens Library;Eastern Runolfsdottir College;444-4-57-830437-8
9-257-452-816-7;Warhol Library;Western Yukon Institute;916-8-46-781853-1
0-156-982-853-9;Kandinsky Library;Southern Senger College;811-4-06-031294-4
0-494-993-690-1;Paul Klee Library;North Quebec College;082-3-09-683860-1
1-721-544-462-7;Warhol Library;Western Yukon Institute;038-6-44-784462-2
3-657-851-381-2;Seurat Library;Northern Streich University;977-6-25-761397-7
9-049-789-115-8;Edward Hopper Library;West Legros;640-3-36-898989-1
0-220-509-528-7;Rothko Library;Bednar University;182-0-31-144227-5
6-340-978-468-1;Monet Library;The Parisian;219-5-48-511855-6
5-545-558-793-9;Monet Library;The Parisian;658-8-66-888188-1
1-291-939-686-8;Gauguin Library;The Parisian;270-5-44-783746-2
3-136-847-046-1;Titian Library;South Quebec Institute;763-8-81-497335-8
4-530-026-128-4;Munch Library;Pollich College;773-7-83-563890-2
8-357-446-993-3;Da Vinci Library;Western Yukon Institute;182-0-31-144227-5
5-980-413-084-9;Cezanne Library;Pollich College;071-4-63-317346-2
1-393-717-572-4;Michelangelo Library;North Quebec College;525-4-37-205315-7
2-149-715-663-7;Cezanne Library;The Vandervort Academy;865-8-93-722874-4
2-682-686-740-3;Diego Rivera Library;The Parisian;476-7-82-891691-7
8-304-281-431-3;Magritte Library;Southern Senger College;776-4-60-458524-0
9-871-152-255-7;Kandinsky Library;Hirthe University;444-4-57-830437-8
8-430-816-095-3;Joan Miro Library;Haag Institute;304-1-98-296281-0
2-732-426-145-2;Seurat Library;Northern Streich University;222-4-35-315597-1
4-782-256-320-2;Botticelli Library;Larkin College;243-5-99-488064-2
7-118-748-504-1;Munch Library;Pollich College;523-8-89-272307-1
3-983-550-642-5;Da Vinci Library;West Newfoundland and Labrador University;284-9-93-729051-7
3-424-341-710-9;Da Vinci Library;East Boehm Academy;492-2-14-714306-0
8-525-215-734-7;Seurat Library;Northern Streich University;184-8-89-989694-2
8-370-498-664-7;Bernini Library;East Krajcik Academy;870-8-74-377167-1
2-264-304-446-1;Da Vinci Library;West Newfoundland and Labrador University;430-9-75-493477-5
7-059-565-807-4;Titian Library;South Quebec Institute;571-8-84-714120-1
8-578-503-159-4;Seurat Library;Northern Streich University;107-6-95-540626-8
6-950-784-740-6;Rubens Library;Eastern Runolfsdottir College;925-0-99-859604-0
9-109-046-917-1;Kandinsky Library;Western Yukon Institute;259-7-61-988294-3
6-441-402-786-7;Dali Library;Eastern Prince Edward Island University;298-7-21-286262-1
9-394-221-479-2;Warhol Library;West Legros;023-5-13-329672-0
0-431-780-674-9;Joan Miro Library;Haag Institute;594-3-88-377628-1
1-501-722-075-8;Durer Library;Eastern Brown;937-1-83-236366-4
5-537-357-078-0;Gauguin Library;The Parisian;871-5-82-409330-4
3-127-173-054-3;Cezanne Library;The Vandervort Academy;923-2-04-794172-4
1-938-372-844-3;Dali Library;Eastern Prince Edward Island University;268-2-21-499255-6
9-310-571-257-6;Dali Library;Southern Senger College;961-3-51-740119-2
9-860-233-604-8;Botticelli Library;Larkin College;323-5-82-127165-6
3-803-931-289-6;Diego Rivera Library;Fisher College;276-4-13-544343-6
6-889-066-852-3;Cassatt Library;Goodwin Institute;974-6-61-592397-4
1-220-019-897-7;Bernini Library;East Krajcik Academy;795-5-51-241762-1
2-348-204-702-8;Rubens Library;Eastern Runolfsdottir College;793-9-33-091113-2
0-090-938-618-4;Warhol Library;Western Yukon Institute;658-7-04-167506-0
0-250-785-769-0;Warhol Library;West Legros;259-7-61-988294-3
4-478-576-117-2;Munch Library;Pollich College;925-0-99-859604-0
0-787-875-396-7;Donatello Library;Corwin College;038-6-44-784462-2
5-716-349-046-9;Magritte Library;North Quebec College;282-4-47-398611-6
2-012-693-426-2;Chagall Library;The Parisian;150-2-25-883132-1
9-742-547-544-0;Rembrandt Library;Southern Schuster Institute;289-9-73-441059-1
8-594-805-279-6;Edward Hopper Library;West Legros;284-9-93-729051-7
9-527-784-160-8;Diego Rivera Library;The Parisian;441-3-92-329424-8
3-623-737-349-8;Kandinsky Library;Western Yukon Institute;400-3-53-162592-9
2-843-529-903-0;Diego Rivera Library;Eastern Prince Edward Island University;570-6-43-980104-2
1-505-245-020-2;Edward Hopper Library;West Legros;492-2-14-714306-0
5-486-282-588-1;Diego Rivera Library;Fisher College;870-8-74-377167-1
0-351-638-438-0;Magritte Library;North Quebec College;282-4-47-398611-6
3-546-314-158-5;Da Vinci Library;East Boehm Academy;327-2-88-718622-0
4-139-467-380-0;Dali Library;South Ontario Institute;800-9-91-302051-6
7-700-910-706-0;Da Vinci Library;Western Yukon Institute;234-6-58-268075-2
6-962-656-692-7;Monet Library;The Parisian;087-3-66-515106-0
2-825-074-335-0;Da Vinci Library;West Newfoundland and Labrador University;546-6-61-381237-9
6-078-152-304-2;Ansel Adams Library;Eastern Brown;916-8-46-781853-1
9-595-094-844-7;Edward Hopper Library;South Ontario Institute;164-6-53-219452-9
0-468-166-261-0;Da Vinci Library;East Boehm Academy;842-3-77-938539-0
2-808-134-376-8;Paul Klee Library;North Quebec College;166-3-36-231843-8
8-969-297-994-1;Botticelli Library;South Quebec Institute;789-5-78-530848-3
5-965-406-383-2;Vettriano Library;Eastern Prince Edward Island University;166-3-36-231843-8
0-359-683-949-3;Diego Rivera Library;Fisher College;845-8-20-692426-7
3-173-359-033-9;Diego Rivera Library;Fisher College;230-1-29-732084-6
1-797-043-443-4;Paul Klee Library;North Quebec College;134-0-45-519992-2
0-020-651-769-6;Raphael Library;East Boehm Academy;694-1-51-995599-3
3-341-862-704-1;Monet Library;The Parisian;557-1-95-860562-6
5-850-303-713-9;Gauguin Library;The Parisian;334-3-50-130100-9
4-534-331-435-2;Diego Rivera Library;Fisher College;472-0-81-543875-1
2-518-765-486-1;Magritte Library;Southern Senger College;557-1-95-860562-6
8-323-811-615-7;Rubens Library;Corwin College;428-4-80-113832-5
7-309-933-840-2;Munch Library;Pollich College;408-4-06-097103-5
0-261-865-788-3;Magritte Library;Southern Senger College;800-9-91-302051-6
9-419-841-504-1;Diego Rivera Library;Fisher College;230-1-29-732084-6
9-972-200-757-4;Botticelli Library;South Quebec Institute;345-7-42-827926-7
0-915-707-075-7;Cezanne Library;The Vandervort Academy;872-9-72-512865-0
4-296-544-035-1;Joan Miro Library;Corwin College;282-4-47-398611-6
7-713-420-261-9;Edward Hopper Library;South Ontario Institute;147-5-53-198536-8
9-266-562-783-4;Munch Library;Pollich College;182-5-21-656226-4
3-330-031-431-9;Rubens Library;Eastern Runolfsdottir College;449-6-96-148560-2
6-999-186-365-9;Botticelli Library;Larkin College;488-0-98-012026-4
1-459-838-912-2;Gauguin Library;North Ontario Institute;023-3-40-157662-0
6-907-184-952-2;Pissarro Library;Corwin University;677-3-74-483124-4
3-530-726-578-8;Botticelli Library;Larkin College;829-1-32-449156-7
6-990-266-132-8;Magritte Library;Southern Senger College;320-1-22-008725-8
2-671-697-167-8;Da Vinci Library;East Boehm Academy;570-6-43-980104-2
7-430-313-003-9;Chagall Library;The Green;793-9-33-091113-2
9-492-716-289-7;Cezanne Library;Pollich College;658-7-04-167506-0
8-526-498-233-3;Dali Library;Southern Senger College;605-0-30-121549-8
5-073-483-277-7;Magritte Library;North Quebec College;811-4-06-031294-4
5-614-260-677-8;Seurat Library;Northern Streich University;776-4-60-458524-0
6-229-194-555-3;Pissarro Library;Corwin University;415-3-93-373701-3
0-194-798-588-0;Donatello Library;Southern Senger College;061-9-29-824413-1
3-913-274-292-6;Matisse Library;Bailey University;677-3-74-483124-4
8-132-555-323-5;Kahlo Library;Pollich College;694-1-51-995599-3
4-309-663-117-0;Joan Miro Library;Haag Institute;773-7-83-563890-2
9-082-890-477-0;Chagall Library;The Parisian;441-3-92-329424-8
3-457-247-277-3;Botticelli Library;South Quebec Institute;134-0-37-130655-8
9-253-023-115-9;Michelangelo Library;North Quebec College;715-9-17-430833-9
3-167-439-770-8;Donatello Library;Corwin College;347-4-67-082213-3
8-365-552-680-3;Paul Klee Library;North Quebec College;843-3-27-935850-4
3-216-407-978-8;Dali Library;Eastern Prince Edward Island University;571-8-84-714120-1
5-643-726-616-8;Monet Library;The Parisian;270-5-44-783746-2
2-458-113-122-4;Gauguin Library;The Parisian;182-0-31-144227-5
6-852-711-544-6;Seurat Library;Northern Streich University;515-4-66-485460-3
2-519-038-227-0;Matisse Library;Bailey University;902-7-51-224652-8
2-391-990-593-7;Joan Miro Library;Haag Institute;260-0-73-891367-0
3-588-145-101-4;Diego Rivera Library;Fisher College;182-5-21-656226-4
7-558-710-858-4;Paul Klee Library;North Quebec College;407-9-55-400165-2
8-495-291-046-3;Da Vinci Library;East Boehm Academy;184-8-89-989694-2
0-643-876-472-1;Cezanne Library;The Vandervort Academy;320-1-22-008725-8
2-528-075-836-4;Gauguin Library;The Parisian;617-4-86-054112-6
8-262-598-686-9;Magritte Library;Southern Senger College;234-6-58-268075-2
3-119-335-239-8;Edward Hopper Library;West Legros;749-8-02-736054-0
1-441-963-588-0;Joan Miro Library;Western Yukon Institute;783-9-79-104646-1
1-869-583-684-4;Rothko Library;Bednar University;038-6-44-784462-2
0-167-260-843-0;Bernini Library;East Krajcik Academy;506-7-23-645168-2
5-110-448-877-1;Da Vinci Library;Western Yukon Institute;788-9-08-132235-6
5-849-911-604-2;Rubens Library;Eastern Runolfsdottir College;480-9-47-710551-2
1-112-852-374-5;Rubens Library;Eastern Runolfsdottir College;658-7-04-167506-0
3-129-513-010-7;Kandinsky Library;Bednar University;809-3-62-821186-6
2-430-385-916-1;Dali Library;Eastern Prince Edward Island University;731-7-04-015942-4
6-090-060-661-7;Joan Miro Library;Corwin College;243-5-99-488064-2
3-567-811-274-9;Kahlo Library;Pollich College;814-9-35-967056-1
9-953-665-274-9;Rothko Library;Bednar University;793-9-33-091113-2
3-712-896-224-2;Gauguin Library;North Ontario Institute;166-3-36-231843-8
1-236-745-561-3;Diego Rivera Library;Fisher College;522-0-38-297513-7
